incident_number,year,country,region,city,route,year_found,where_found,how_long_dead,where_death_registered,date_death_registered,circumstances,details_of_incident,primary_cause,secondary_cause,identification_status,details_of_identification,labels,sex,age,estimated_age,stated_nationality,place_of_birth,place_of_last_known_residence,guessed_nationality,descriptions_of_race,personal_items,features,other_information
NA,1990,Spain,Cadiz,Tarifa,Western Mediterranean (sea),1990,NA,NA,Tarifa,22/02/1990,NA,NA,drowning,NA,unidentified,NA,unidentified person,NA,NA,NA,NA,NA,NA,Morocco,NA,NA,NA,NA
NA,1990,Spain,Cadiz,Tarifa,Western Mediterranean (sea),NA,beach Valdevaqueros,NA,Tarifa,7/11/1992,NA,NA,drowning,NA,identified,NA,NA,male,21,NA,Morocco,NA,NA,NA,NA,NA,NA,NA
NA,1990,Spain,Cadiz,Algeciras,Western Mediterranean (sea),NA,NA,NA,Algeciras,4/09/1990,NA,NA,drowning,NA,identified,NA,NA,male,21,NA,Morocco,NA,NA,NA,NA,NA,NA,NA
NA,1990,Spain,Cadiz,Algeciras,Western Mediterranean (sea),NA,NA,NA,Algeciras,23/01/1991,NA,NA,drowning,NA,identified,NA,NA,male,25,NA,Morocco,NA,NA,NA,NA,NA,NA,NA
NA,1990,Spain,Granada,Almunecar,Western Mediterranean (sea),1990,"sea, 40m from coast",4-6 weeks,Almunecar,25/05/1990,NA,NA,drowning,injury to the chest,unidentified,NA,unknown,female,NA,NA,NA,NA,NA,NA,NA,clothes,NA,NA
NA,1990,Spain,Huelva,Ayamonte,Western Mediterranean (sea),NA,NA,NA,Ayamonte,22/04/2014,NA,NA,drowning,NA,unidentified,NA,unknown,male,NA,20-30,NA,NA,NA,NA,black / Sub-Saharan African,NA,NA,NA
NA,1990,Spain,Almeria,Nijar,Western Mediterranean (sea),NA,NA,NA,Nijar,27/02/1990,NA,NA,drowning,NA,identified,NA,NA,NA,29,NA,Egypt,NA,NA,NA,NA,NA,NA,NA
NA,1990,Spain,Balearic Islands,"Mallorca, Capdepera",Western Mediterranean (sea),1990,NA,NA,Capdepera,28/12/1990,NA,NA,NA,NA,unidentified,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA
NA,1990,Spain,Santa Cruz de Tenerife,"Tenerife, Santa Cruz de Tenerife",Atlantic,NA,NA,NA,Santa Cruz de Tenerife,9/08/1990,NA,NA,drowning,NA,unidentified,first name provided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1990,Spain,Melilla,Melilla,Western Mediterranean (land),NA,NA,NA,Melilla,10/07/1990,NA,NA,drowning,NA,identified,NA,NA,female,35,NA,Morocco,NA,NA,NA,NA,NA,NA,NA
NA,1990,Italy,"Sicily, Agrigento",Linosa,Central Mediterranean,NA,NA,NA,NA,NA,NA,NA,drowning,hypothermia,unidentified,NA,unidentified person,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1990,Italy,"Sicily, Messina",Messina,Central Mediterranean,NA,NA,NA,Messina,11/04/1990,NA,NA,NA,NA,unidentified,NA,unknown/stranger,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1990,Italy,"Sicily, Trapani",Pantelleria,Central Mediterranean,1990,"high seas, 30n.mi. from Pantelleria",NA,Pantelleria,10/06/1990,NA,NA,NA,NA,unidentified,NA,unidentified person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sicily 1,1990,Italy,"Sicily, Trapani",Alcamo,Central Mediterranean,NA,NA,NA,Alcamo,13/06/1990,NA,NA,NA,NA,identified,NA,NA,male,28,NA,NA,Tunisia,NA,NA,NA,NA,NA,NA
Sicily 1,1990,Italy,"Sicily, Trapani",Alcamo,Central Mediterranean,NA,NA,NA,Alcamo,13/06/1990,NA,NA,NA,NA,identified,NA,NA,male,24,NA,Tunisia,Tunisia,NA,NA,NA,NA,NA,NA
NA,1990,Italy,"Puglia, Bari",Bari,Adriatic (sea),NA,"41.18 N 17.20 E, 24n.mi. from coast",NA,Bari-Murat,30/01/1990,NA,NA,drowning,suffocation,unidentified,NA,unknown person,female,NA,NA,NA,NA,NA,Yugoslavia,NA,NA,NA,NA
NA,1990,Italy,"Puglia, Foggia",Lesina,Adriatic (sea),1990,coast of Lesina,NA,NA,NA,NA,NA,drowning,NA,unidentified,NA,unknown/stranger,NA,NA,55-60,NA,NA,NA,NA,NA,NA,NA,NA
NA,1990,Italy,"Puglia, Lecce",Lecce,Adriatic (sea),NA,NA,NA,Lecce,23/03/1998,NA,NA,NA,NA,unidentified,NA,"unidentified person of male sex, non-EU",male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1990,Greece,Evros,Didimoticho,Eastern Mediterranean (land),NA,NA,NA,Didimoticho,12/01/1990,NA,NA,cardiac arrest,hypothermia,identified,NA,NA,male,22,NA,Turkey,NA,NA,NA,NA,NA,NA,NA
NA,1990,Greece,North Aegean,"Lemnos, Myrina",Eastern Mediterranean (sea),1990,"Dermonas Beach, Moudros area",NA,Myrina,24/10/1990,NA,NA,drowning,NA,unidentified,NA,unknown man,male,NA,NA,NA,NA,NA,NA,NA,swimsuit,NA,decomposed
