region,date,year,deaths,women,men,children,cause_of_death,location_description,location_coordinates,url
Mediterranean,"November 04, 2018",2018,1,NA,19,NA,Drowning,"Body found on Los Caños beach, Barbate, Cadiz, Spain","36.189252018320, -6.018160853906",https://bit.ly/2SOgADQ
US-Mexico Border,"November 03, 2018",2018,1,NA,1,NA,Drowning,"Rio Bravo, near El Indio, Maverick County, Texas, USA","28.498068890098, -100.334527647270",https://bit.ly/2EZkExY
Mediterranean,"October 29, 2018",2018,1,NA,1,NA,Presumed drowning,"Amwaj Beach, outside Nador, Morocco","35.157968537571, -2.905610943750",https://bit.ly/2PEF7Mx
US-Mexico Border,"October 29, 2018",2018,1,NA,1,NA,Cardiac arrest,"Near Roma, Starr County, Texas, USA","26.408852300000, -99.015655400000",https://bit.ly/2D1Ukki
Central America,"October 28, 2018",2018,1,NA,1,NA,Shot,"Guatemala-Mexico border, Tecún Umán, Guatemala","14.676584275856, -92.147321116516","https://bit.ly/2EMl0I4, https://bit.ly/2OZwk8N"
Mediterranean,"October 27, 2018",2018,1,NA,NA,NA,Presumed drowning,"Unspecified location in the Alboran Sea, between Morocco and Spain","35.818965090848, -4.128170864062",https://bit.ly/2Da61pL
Mediterranean,"October 27, 2018",2018,1,1,NA,NA,Unknown,"Died in district hospital after being rescued off Turgutreis Cape, Bodrum, Turkey","36.951540206154, 27.239748161133",https://bit.ly/2yAwsRK
Mediterranean,"October 26, 2018",2018,14,NA,1,NA,Presumed drowning,"Off the coast of Plage Charrana, Bni Chiker, Morocco","35.442087951783, -3.127679063281","https://bit.ly/2Rlfbmr, https://bit.ly/2qjjMdv, https://bit.ly/2De257A"
Middle East,"October 25, 2018",2018,6,NA,6,NA,Drowning,"Kızılçat, Yayladağı district, Hatay province, Turkey - when crossing from Latakia, Syria","35.858384350643, 36.116948497315","https://bit.ly/2PWYXQ2, https://bit.ly/2CGxTkn, https://bit.ly/2OR7UhA"
Europe,"October 25, 2018",2018,1,NA,1,NA,Hit by train,"Near Lutros, Alexandroupolis, Greece","40.880611200000, 26.045885000000",https://bit.ly/2Ry5SzJ
Europe,"October 25, 2018",2018,3,1,NA,2,Presumed drowning,"Evros River, near Orestiada, Greece","41.507704846227, 26.598028237012",https://bit.ly/2PEVed3
Mediterranean,"October 25, 2018",2018,2,NA,2,NA,Presumed drowning,"Bodies recovered near Plage de Trougout, Nador, Morocco","35.357502053477, -3.798174029297","https://goo.gl/gHS3bh, https://bit.ly/2CJwR7n, https://bit.ly/2D9Jidw"
Mediterranean,"October 22, 2018",2018,3,1,NA,3,Drowning,"50m off the coast of Bodrum, Muğla province, Turkey","37.013780762096, 27.441440497437","https://bit.ly/2R3gkig, https://bit.ly/2q563GY, https://reut.rs/2yUamcl"
